Area,Age,Sex,Year at 30 June,Value,Flags
"Total, North Island Regions","Total people, age","Total people, sex","2004",3109000,
"Total, North Island Regions","Total people, age","Total people, sex","2005",3145400,
"Total, North Island Regions","Total people, age","Total people, sex","2006",3185100,
"Total, North Island Regions","Total people, age","Total people, sex","2007",3214700,
"Total, North Island Regions","Total people, age","Total people, sex","2008",3241700,
"Total, North Island Regions","Total people, age","Total people, sex","2009",3274500,
"Total, North Island Regions","Total people, age","Total people, sex","2010",3311700,
"Total, North Island Regions","Total people, age","Total people, sex","2011",3348100,
"Total, North Island Regions","Total people, age","Total people, sex","2012",3373700,
"Total, North Island Regions","Total people, age","Total people, sex","2013",3398700,
"Total, North Island Regions","Total people, age","Total people, sex","2014",3458300,
"Total, North Island Regions","Total people, age","Total people, sex","2015",3527700,
"Total, North Island Regions","Total people, age","Total people, sex","2016",3606300,
"Total, North Island Regions","Total people, age","Total people, sex","2017",3684400,
"Total, North Island Regions","Total people, age","Total people, sex","2018",3753700,
"Total, North Island Regions","Total people, age","Total people, sex","2019",3815700,
"Total, North Island Regions","Total people, age","Total people, sex","2020",3902500,
"Total, North Island Regions","Total people, age","Total people, sex","2021",3925800,
"Total, South Island Regions","Total people, age","Total people, sex","2000",930500,
"Total, South Island Regions","Total people, age","Total people, sex","2001",935400,
"Total, South Island Regions","Total people, age","Total people, sex","2002",948200,
"Total, South Island Regions","Total people, age","Total people, sex","2003",964000,
"Total, South Island Regions","Total people, age","Total people, sex","2004",977800,
"Total, South Island Regions","Total people, age","Total people, sex","2005",987800,
"Total, South Island Regions","Total people, age","Total people, sex","2006",998800,
"Total, South Island Regions","Total people, age","Total people, sex","2007",1008400,
"Total, South Island Regions","Total people, age","Total people, sex","2008",1017400,
"Total, South Island Regions","Total people, age","Total people, sex","2009",1027500,
"Total, South Island Regions","Total people, age","Total people, sex","2010",1038400,
"Total, South Island Regions","Total people, age","Total people, sex","2011",1035200,
"Total, South Island Regions","Total people, age","Total people, sex","2012",1033700,
"Total, South Island Regions","Total people, age","Total people, sex","2013",1042800,
"Total, South Island Regions","Total people, age","Total people, sex","2014",1057600,
"Total, South Island Regions","Total people, age","Total people, sex","2015",1081000,
"Total, South Island Regions","Total people, age","Total people, sex","2016",1107200,
"Total, South Island Regions","Total people, age","Total people, sex","2017",1128500,
"Total, South Island Regions","Total people, age","Total people, sex","2018",1146200,
"Total, South Island Regions","Total people, age","Total people, sex","2019",1162800,
"Total, South Island Regions","Total people, age","Total people, sex","2020",1187000,
"Total, South Island Regions","Total people, age","Total people, sex","2021",1196000,
